entity1,relation,entity2
Toy Story,HAS_ACTOR,Jim Varney
Toy Story,HAS_ACTOR,Tim Allen
Toy Story,HAS_ACTOR,Tom Hanks
Toy Story,HAS_ACTOR,Don Rickles
Toy Story,HAS_DIRECTOR,John Lasseter
Toy Story,IN_GENRE,Adventure
Toy Story,IN_GENRE,Animation
Toy Story,IN_GENRE,Children
Toy Story,IN_GENRE,Comedy
Toy Story,IN_GENRE,Fantasy
Toy Story,RELEASED_ON,1995-11-22
Toy Story,HAS_IMDB_RATING,8.3
Jumanji,HAS_ACTOR,Robin Williams
Jumanji,HAS_ACTOR,Bradley Pierce
Jumanji,HAS_ACTOR,Kirsten Dunst
Jumanji,HAS_ACTOR,Jonathan Hyde
Jumanji,HAS_DIRECTOR,Joe Johnston
Jumanji,IN_GENRE,Adventure
Jumanji,IN_GENRE,Children
Jumanji,IN_GENRE,Fantasy
Jumanji,RELEASED_ON,1995-12-15
Jumanji,HAS_IMDB_RATING,6.9
Grumpier Old Men,HAS_ACTOR,Walter Matthau
Grumpier Old Men,HAS_ACTOR,Ann-Margret
Grumpier Old Men,HAS_ACTOR,Jack Lemmon
Grumpier Old Men,HAS_ACTOR,Sophia Loren
Grumpier Old Men,HAS_DIRECTOR,Howard Deutch
Grumpier Old Men,IN_GENRE,Comedy
Grumpier Old Men,IN_GENRE,Romance
Grumpier Old Men,RELEASED_ON,1995-12-22
Grumpier Old Men,HAS_IMDB_RATING,6.6
Waiting to Exhale,HAS_ACTOR,Whitney Houston
Waiting to Exhale,HAS_ACTOR,Lela Rochon
Waiting to Exhale,HAS_ACTOR,Angela Bassett
Waiting to Exhale,HAS_ACTOR,Loretta Devine
Waiting to Exhale,HAS_DIRECTOR,Forest Whitaker
Waiting to Exhale,IN_GENRE,Romance
Waiting to Exhale,IN_GENRE,Drama
Waiting to Exhale,IN_GENRE,Comedy
Waiting to Exhale,RELEASED_ON,1995-12-22
Waiting to Exhale,HAS_IMDB_RATING,5.6
Father of the Bride Part II,HAS_ACTOR,Steve Martin
Father of the Bride Part II,HAS_ACTOR,Kimberly Williams-Paisley
Father of the Bride Part II,HAS_ACTOR,Diane Keaton
Father of the Bride Part II,HAS_ACTOR,Martin Short
Father of the Bride Part II,HAS_DIRECTOR,Charles Shyer
Father of the Bride Part II,IN_GENRE,Comedy
Father of the Bride Part II,RELEASED_ON,1995-12-08
Father of the Bride Part II,HAS_IMDB_RATING,5.9
Heat,HAS_ACTOR,Al Pacino
Heat,HAS_ACTOR,Robert De Niro
Heat,HAS_ACTOR,Val Kilmer
Heat,HAS_ACTOR,Jon Voight
Heat,HAS_DIRECTOR,Michael Mann
Heat,IN_GENRE,Action
Heat,IN_GENRE,Crime
Heat,IN_GENRE,Thriller
Heat,RELEASED_ON,1995-12-15
Heat,HAS_IMDB_RATING,8.2
Sabrina,HAS_ACTOR,Julia Ormond
Sabrina,HAS_ACTOR,Harrison Ford
Sabrina,HAS_ACTOR,Nancy Marchand
Sabrina,HAS_ACTOR,Greg Kinnear
Sabrina,HAS_DIRECTOR,Sydney Pollack
Sabrina,IN_GENRE,Comedy
Sabrina,IN_GENRE,Romance
Sabrina,RELEASED_ON,1995-12-15
Sabrina,HAS_IMDB_RATING,6.2
Tom and Huck,HAS_ACTOR,Jonathan Taylor Thomas
Tom and Huck,HAS_ACTOR,Brad Renfro
Tom and Huck,HAS_ACTOR,Eric Schweig
Tom and Huck,HAS_ACTOR,Charles Rocket
Tom and Huck,HAS_DIRECTOR,Peter Hewitt
Tom and Huck,IN_GENRE,Children
Tom and Huck,IN_GENRE,Adventure
Tom and Huck,RELEASED_ON,1995-12-22
Tom and Huck,HAS_IMDB_RATING,5.6
Sudden Death,HAS_ACTOR,Jean-Claude Van Damme
Sudden Death,HAS_ACTOR,Powers Boothe
Sudden Death,HAS_ACTOR,Raymond J. Barry
Sudden Death,HAS_ACTOR,Whittni Wright
Sudden Death,HAS_DIRECTOR,Peter Hyams
Sudden Death,IN_GENRE,Action
Sudden Death,RELEASED_ON,1995-12-22
Sudden Death,HAS_IMDB_RATING,5.7
GoldenEye,HAS_ACTOR,Pierce Brosnan
GoldenEye,HAS_ACTOR,Famke Janssen
GoldenEye,HAS_ACTOR,Sean Bean
GoldenEye,HAS_ACTOR,Izabella Scorupco
GoldenEye,HAS_DIRECTOR,Martin Campbell
GoldenEye,IN_GENRE,Adventure
GoldenEye,IN_GENRE,Action
GoldenEye,IN_GENRE,Thriller
GoldenEye,RELEASED_ON,1995-11-17
GoldenEye,HAS_IMDB_RATING,7.2
"American President, The",HAS_ACTOR,Martin Sheen
"American President, The",HAS_ACTOR,Michael J. Fox
"American President, The",HAS_ACTOR,Michael Douglas
"American President, The",HAS_ACTOR,Annette Bening
"American President, The",HAS_DIRECTOR,Rob Reiner
"American President, The",IN_GENRE,Comedy
"American President, The",IN_GENRE,Romance
"American President, The",IN_GENRE,Drama
"American President, The",RELEASED_ON,1995-11-17
"American President, The",HAS_IMDB_RATING,6.8
Dracula: Dead and Loving It,HAS_ACTOR,Peter MacNicol
Dracula: Dead and Loving It,HAS_ACTOR,Leslie Nielsen
Dracula: Dead and Loving It,HAS_ACTOR,Steven Weber
Dracula: Dead and Loving It,HAS_ACTOR,Amy Yasbeck
Dracula: Dead and Loving It,HAS_DIRECTOR,Mel Brooks
